14:34 | 16:13 | 2019-02-25 | Youtube
11:11 | 11:49 | 2019-05-04 | Youtube
22:20 | 22:35 | 2019-10-26 | Code
10:42 | 11:01 | 2019-11-04 | Year 5
21:59 | 23:39 | 2020-05-08 | Liva
11:43 | 12:49 | 2020-06-05 | Youtube
13:37 | 14:26 | 2020-07-29 | Entertain
13:06 | 14:15 | 2020-08-11 | Youtube
16:57 | 17:39 | 2020-11-06 | Learn
17:46 | 18:56 | 2020-11-10 | Sleep
10:46 | 11:06 | 2020-11-14 | 3D Print
14:22 | 14:24 | 2020-12-10 | Plan
14:25 | 15:00 | 2021-01-27 | Code
16:09 | 16:20 | 2021-02-13 | 3D Print
21:58 | 23:40 | 2021-03-25 | Learn
13:40 | 14:49 | 2021-04-18 | PHYS 526
11:41 | 13:08 | 2021-05-02 | Read
15:24 | 15:37 | 2021-06-18 | Hygiene
02:24 | 12:37 | 2021-06-20 | Game
15:01 | 16:52 | 2021-06-22 | Entertain
14:14 | 15:02 | 2021-07-09 | CPSC 312
20:49 | 21:26 | 2021-07-07 | Plan
17:22 | 18:00 | 2021-08-21 | Shower
21:13 | 21:55 | 2021-08-13 | Shower
08:32 | 08:38 | 2021-09-10 | Bathroom
15:46 | 16:58 | 2021-09-11 | UBC
21:43 | 22:05 | 2021-10-01 | Exercise
11:54 | 11:59 | 2021-10-15 | 3D Print
18:56 | 20:42 | 2021-11-17 | Gym
09:56 | 11:52 | 2021-11-19 | Liva
23:20 | 23:20 | 2021-12-07 | Sleep
